id,date,tweet,label
642523891,2020-11-20 17:01:14+00:00,"nakakatuwa yung policy ko skyrocket ang pag appreciate, tuloy tuloy lang (company account) pls.. 🙏",general.comment
524868333,2020-10-25 02:22:20+00:00,5 years ago... i trusted (company account)  but now i am very frustrated and very doubtful. I will be waiting for your reply regarding AXELERATOR policy. I already sent email to the financial advisor and to your customer service after you didn’t reply my dm in Twitter.,contact.contact
810571019,2020-10-18 10:56:22+00:00,Wala ng chachaka sa customer service ng (company account).,faq.bad_service
882035116,2020-10-16 20:39:04+00:00,I submitted my application form for home insurance to you (company account) via email on 10/8. How much time would it take for your sales team to contact me and visit the property for assessment?,faq.turnaround_time
118118699,2020-09-17 13:36:20+00:00,Sino may kakilala from (company account) to help me change my MRI from UCPB Gen to (company account)?,contact.contact
818959920,2020-09-04 11:27:44+00:00,"On saving and investing: Everything starts with a GOAL with a target AMOUNT and DEADLINE.  Don't stop earning, saving and investing till you've hit that goal.

Just one of the little nuggets of wisdom shared by @marvingermo in this afternoon's talk.  Thank you Marvin and (company account)!",general.promotion
723894406,2020-07-30 17:02:34+00:00,Hey (company account) I have been waiting on a claim since June 1. Your Claims Department have been terribly slow and non-responsive to my follow ups. Pls have someone with authority to intervene call me.,faq.bad_service
279863264,2020-07-15 05:33:54+00:00,Please check DM (company account),contact.contact
842229040,2020-06-19 11:57:54+00:00,Thank you (company account) for the follow up phone call from Cathy who is one of your (company account) customer service representatives working closely with your IT team about INC10818270. I wanted you all to know that I greatly appreciate it. Hopefully this would be done within the month of June. 🤞🏽,general.comment
477810032,2020-06-09 02:14:21+00:00,Why is one of your insurance guys being so pushy?😒😒😒 I already declined and he still keeps on messaging me to try and attend their seminar (company account),general.comment
620704452,2020-05-27 01:43:55+00:00,"Love (company account) / Charter Ping An's customer service.

I've been so frustrated with the local branch/agent because we've been unable to reach them since before the ECQ, so I decided to try emailing the main customer service email. 

In just 2 days, my car insurance has been renewed!",faq.bad_service
503723573,2020-04-30 09:41:30+00:00,"Hello (company account), I’m wondering why you charged my CC twice for different premium amounts?",faq.payment
238495296,2020-04-11 05:42:53+00:00,I love (company account) na! ☺️,general.comment
796009277,2020-03-23 07:25:27+00:00,hi (company account). i can’t seem to log in to my account. please help.,general.assist
194695834,2020-03-21 06:25:43+00:00,"I have sent a DM

Kindly respond and it's urgent! 
(company account)",contact.contact
323133164,2020-01-26 03:11:50+00:00,"The NBA on @cnnphilippines is brought to you by (company account), @enjoyGLOBE and @GatoradePH! #NBAonCNNPH",general.promotion
441095974,2020-01-13 00:07:18+00:00,"ADVISORY: Due to the heavy ash fall, (company account) Philippines’ head office will be closed today. Our branches in NCR, CALABARZON, and Region 3 will also be closed. 
Stay safe, everyone!",general.advice
442233420,2020-01-09 11:11:31+00:00,"Hello (company account) is there any way I can get my insurance policy? I finished all payments half a month early, and now (almost three months after my last payment), I have still yet to see my policy. I've also been told by your hotline that my policy does NOT exist in their database",faq.after_sales
102169958,2019-11-28 07:19:13+00:00,yung naiiyak ang nanay ko tuwing makikita ang logo ng (company account)  😥 #depressed and #disappointed,general.promotion
731951203,2019-11-25 12:39:20+00:00,Buti pa yung kotse mo may insurance. Ikaw na iisa lang ang buhay wala. How ironic no? Know your life’s value more than things that can be replaced. Yung gamit narereplace pero your life NO. be secured when accidents happens. Dm me for free quotations (company account) #knowyoucan,general.promotion
149549436,2019-11-17 06:54:42+00:00,SELF BELIEVE drives every journey sbi nga ng (company account) which is a major sponsor of #UAAPSeason82 ☺ Good job @DLSUAnimoSquad!💚 Redemption it is! D-LS-U!!!! #AnimoLaSalle!🏹 #RewriteLaSalle,general.query
