id,timestamp,inquiry,label
1003276,1/23/2020 3:30pm,Hindi nya naisagot ng tama ang tanong ni nanai tungkol sa kapanganakan.,faq.app_use
7933601,1/23/2020 4:50pm,Hindi pa nya tapos ang pagkukuha ng picture.,faq.app_use
9833856,1/23/2020 4:55pm,"Hindi gumagana yung chatbot, hindi nagreresponse sa kanya si nanai",faq.app_use
1629110,1/23/2020 5:01pm,Hindi nya pinipindot yung mga selection na binibigay ni nanay at nawawala napo cya.,faq.app_use
6705620,1/23/2020 5:08pm,Hindi nya po tinapos ang pagkukuha ng litrato.,faq.app_use
4393581,1/23/2020 5:40pm,"Mali yung nirereply kay nanai, dapat ay magsimula na siyang kumuha ng litrato.",faq.app_use
7354161,1/23/2020 5:52pm,Nag - error yung pagkuha nya ng picture.,faq.app_use
3352644,1/24/2020 10:08am,Bakit raw paulit ulit cya ng pagkuha ng picture ni wala naman raw cyang binabago.,faq.app_use
2494367,1/24/2020 10:44am,Hindi nya tinapos ang pagkuha ng litrato.,faq.app_use
1196864,1/24/2020 10:54am,Hindi cya makapag-enroll.,faq.app_use
4537952,1/27/2020 6:31pm,Hindi cya nakakapasok kay nanai kasi mali yung number ang pinapasok nya.,faq.app_use
4139346,1/27/2020 6:36pm,Mali yung Format ng Birthdate na binibigay nya.,faq.app_use
5123584,1/30/2020 5:39pm,Hindi pa nya natatapos ang pagkukuha ng picture.,faq.app_use
2786352,1/30/2020 5:44pm,"Hindi pa cya nagsisimula sa pagkuha ng litrato matapos nyang pindutin ang ""TAMA at Magpatuloy"".",faq.app_use
6771818,1/30/2020 5:51pm,"Hindi tama ang pagkakakuha nya ng litrato, at hindi pa nya tinatapos.",faq.app_use
2227906,1/30/2020 5:57pm,"Hindi nya pinipindot yung ""Bumalik sa Menu"" at nagsend cya ng video ng form.",faq.app_use
6330802,2/7/2020 1:24pm,Mali yung nilalagay nyang format about sa Bilang ng anak.,faq.app_use
6298208,2/7/2020 1:32pm,Hindi nagreresponse ang chatbot sa mga options na pinipili nya.,faq.app_use
4120750,2/7/2020 1:36pm,"Hindi cya makapag-enroll ulit kasi hindi nya pinipindot ang ""Mag-ENROLL pa"".",faq.app_use
8713436,2/7/2020 1:42pm,Hindi cya makaproceed sa pagregister.,faq.app_use
4068253,2/7/2020 1:55pm,Hindi pa nya tapos ang pagkukuha ng picture.,faq.app_use
5917464,2/7/2020 2:12pm,Hindi nagreresponse ang chatbot sa kanya.,faq.app_use
6649692,2/7/2020 2:23pm,Hindi nagreresponse ang chatbot sa kanya.,faq.app_use
4863709,2/7/2020 2:24pm,Hindi nagreresponse sa kanya ang chatbot.,faq.app_use
3388878,2/7/2020 2:43pm,Hindi nya ma-enroll ng tama yung customer nya.,faq.app_use
9949763,2/7/2020 3:07pm,Hindi nagreresponse ang chatbot sa kanya.,faq.app_use
